Date,In,Out,Total_Hours
7 12 2020,12:14,20:09,7:55
6 12 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
5 12 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
4 12 2020,12:28,22:05,9:37
3 12 2020,10:56,20:30,9:34
2 12 2020,11:51,21:02,9:11
1 12 2020,11:36,20:55,9:19
30 11 2020,10:47,20:20,9:33
29 11 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
28 11 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
27 11 2020,12:42,23:16,10:34
26 11 2020,10:49,20:28,9:39
25 11 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
24 11 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
23 11 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
22 11 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
21 11 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
20 11 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
19 11 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
18 11 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
17 11 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
16 11 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
15 11 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
14 11 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
13 11 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
12 11 2020,10:41,22:31,11:50
11 11 2020,11:07,20:30,9:23
10 11 2020,10:44,21:03,10:19
9 11 2020,10:31,20:30,9:59
8 11 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
7 11 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
6 11 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
5 11 2020,13:49,20:30,6:41
4 11 2020,10:41,22:38,11:57
3 11 2020,10:31,22:13,11:42
2 11 2020,11:03,20:29,9:26
1 11 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
31 10 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
30 10 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
29 10 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
28 10 2020,7:00,13:48,6:48
27 10 2020,10:47,20:21,9:34
26 10 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
25 10 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
24 10 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
23 10 2020,11:05,22:41,11:36
22 10 2020,11:25,21:14,9:49
21 10 2020,10:52,19:50,8:58
20 10 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
19 10 2020,11:23,23:05,11:42
18 10 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
17 10 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
16 10 2020,10:56,20:51,9:55
15 10 2020,11:05,22:47,11:42
14 10 2020,10:30,21:00,10:30
13 10 2020,10:53,22:42,11:49
12 10 2020,11:06,21:08,10:02
11 10 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
10 10 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
9 10 2020,11:27,21:19,9:52
8 10 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
7 10 2020,11:05,22:57,11:52
6 10 2020,11:15,22:47,11:32
5 10 2020,10:59,23:01,12:02
4 10 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
3 10 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
2 10 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
1 10 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
30 09 2020,10:55,22:42,11:47
29 09 2020,11:07,21:43,10:36
28 09 2020,11:00,20:42,9:42
27 09 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
26 09 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
25 09 2020,10:30,20:30,10:00
24 09 2020,10:52,20:41,9:49
23 09 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
22 09 2020,12:14,22:04,9:50
21 09 2020,10:45,20:58,10:13
20 09 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
19 09 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
18 09 2020,10:59,21:14,10:15
17 09 2020,11:00,22:03,11:03
16 09 2020,10:53,20:16,9:23
15 09 2020,12:23,22:49,10:26
14 09 2020,10:49,21:40,10:51
13 09 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
12 09 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
11 09 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
10 09 2020,10:05,22:21,12:16
9 09 2020,10:37,21:03,10:26
8 09 2020,10:52,23:24,12:32
7 09 2020,13:43,21:08,7:25
6 09 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
5 09 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
4 09 2020,9:58,22:15,12:17
3 09 2020,11:02,21:18,10:16
2 09 2020,11:06,20:35,9:29
1 09 2020,10:46,20:32,9:46
31 08 2020,11:19,22:19,11:00
30 08 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
29 08 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
28 08 2020,12:07,22:45,10:38
27 08 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
26 08 2020,11:17,19:01,7:44
25 08 2020,10:09,21:02,10:53
24 08 2020,10:33,22:17,11:44
23 08 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
22 08 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
21 08 2020,12:19,19:15,6:56
20 08 2020,11:22,20:40,9:18
19 08 2020,11:02,20:40,9:38
18 08 2020,11:00,20:39,9:39
17 08 2020,10:59,20:01,9:02
16 08 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
15 08 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
14 08 2020,11:58,19:02,7:04
13 08 2020,10:41,20:00,9:19
12 08 2020,10:57,22:40,11:43
11 08 2020,9:03,22:14,13:11
10 08 2020,11:30,22:15,10:45
9 08 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
8 08 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
7 08 2020,10:54,20:20,9:26
6 08 2020,10:58,21:13,10:15
5 08 2020,10:55,21:10,10:15
4 08 2020,10:47,19:16,8:29
3 08 2020,10:56,21:05,10:09
2 08 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
1 08 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
31 07 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
30 07 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
29 07 2020,11:40,20:43,9:03
28 07 2020,11:56,20:02,8:06
27 07 2020,10:47,21:59,11:12
26 07 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
25 07 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
24 07 2020,11:14,21:33,10:19
23 07 2020,10:53,21:02,10:09
22 07 2020,10:51,20:09,9:18
21 07 2020,10:41,20:52,10:11
20 07 2020,10:46,21:59,11:13
19 07 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
18 07 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
17 07 2020,10:44,20:16,9:32
16 07 2020,10:50,19:52,9:02
15 07 2020,10:26,18:26,8:00
14 07 2020,11:00,18:25,7:25
13 07 2020,10:40,20:00,9:20
12 07 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
11 07 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
10 07 2020,11:33,20:15,8:42
9 07 2020,10:59,23:12,12:13
8 07 2020,10:53,22:40,11:47
7 07 2020,10:41,21:45,11:04
6 07 2020,11:11,20:00,8:49
5 07 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
4 07 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
3 07 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
2 07 2020,11:00,23:50,12:50
1 07 2020,11:01,22:12,11:11
30 06 2020,10:43,23:01,12:18
29 06 2020,10:49,20:21,9:32
28 06 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
27 06 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
26 06 2020,10:38,23:43,13:05
25 06 2020,10:40,23:14,12:34
24 06 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
23 06 2020,13:44,23:08,9:24
22 06 2020,10:37,22:30,11:53
21 06 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
20 06 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
19 06 2020,11:21,20:00,8:39
18 06 2020,10:03,20:00,9:57
17 06 2020,10:38,20:30,9:52
16 06 2020,10:32,18:23,7:51
15 06 2020,10:37,20:42,10:05
14 06 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
13 06 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
12 06 2020,10:30,20:00,9:30
11 06 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
10 06 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
9 06 2020,10:43,20:29,9:46
8 06 2020,10:41,21:06,10:25
7 06 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
6 06 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
5 06 2020,10:36,22:44,12:08
4 06 2020,11:32,20:44,9:12
3 06 2020,12:00,20:22,8:22
2 06 2020,12:59,20:24,7:25
1 06 2020,12:07,19:30,7:23
31 05 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
30 05 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
29 05 2020,10:44,22:04,11:20
28 05 2020,11:37,22:37,11:00
27 05 2020,10:42,22:16,11:34
26 05 2020,11:58,21:07,9:09
25 05 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
24 05 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
23 05 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
22 05 2020,10:36,21:01,10:25
21 05 2020,10:42,21:12,10:30
20 05 2020,10:33,20:17,9:44
19 05 2020,13:58,22:14,8:16
18 05 2020,10:46,19:05,8:19
17 05 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
16 05 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
15 05 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
14 05 2020,10:19,22:39,12:20
13 05 2020,11:26,18:37,7:11
12 05 2020,10:36,20:28,9:52
11 05 2020,10:34,21:24,10:50
10 05 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
9 05 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
8 05 2020,10:35,20:38,10:03
7 05 2020,9:37,20:23,10:46
6 05 2020,11:06,19:35,8:29
5 05 2020,10:40,20:24,9:44
4 05 2020,10:21,20:32,10:11
3 05 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
2 05 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
1 05 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
30 04 2020,10:49,20:15,9:26
29 04 2020,11:08,21:39,10:31
28 04 2020,10:47,21:43,10:56
27 04 2020,10:36,22:31,11:55
26 04 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
25 04 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
24 04 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
23 04 2020,10:17,22:49,12:32
22 04 2020,10:33,21:14,10:41
21 04 2020,10:43,19:56,9:13
20 04 2020,10:38,19:26,8:48
19 04 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
18 04 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
17 04 2020,11:17,17:10,5:53
16 04 2020,10:38,19:46,9:08
15 04 2020,10:25,21:38,11:13
14 04 2020,11:09,20:09,9:00
13 04 2020,10:33,20:00,9:27
12 04 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
11 04 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
10 04 2020,6:05,16:03,9:58
9 04 2020,9:56,20:22,10:26
8 04 2020,11:39,22:04,10:25
7 04 2020,10:25,20:19,9:54
6 04 2020,10:39,0:25,13:46
5 04 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
4 04 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
3 04 2020,13:13,19:24,6:11
2 04 2020,10:35,22:36,12:01
1 04 2020,10:14,19:07,8:53
31 03 2020,10:52,19:07,8:15
30 03 2020,12:59,19:32,6:33
29 03 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
28 03 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
27 03 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
26 03 2020,10:12,19:01,8:49
25 03 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
24 03 2020,10:29,18:12,7:43
23 03 2020,11:43,20:17,8:34
22 03 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
21 03 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
20 03 2020,10:43,18:31,7:48
19 03 2020,10:20,19:38,9:18
18 03 2020,11:22,19:06,7:44
17 03 2020,12:21,20:28,8:07
16 03 2020,12:01,20:12,8:11
15 03 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
14 03 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
13 03 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
12 03 2020,12:00,20:07,8:07
11 03 2020,12:23,19:20,6:57
10 03 2020,12:13,19:28,7:15
9 03 2020,12:15,20:30,8:15
8 03 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
7 03 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
6 03 2020,12:24,19:37,7:13
5 03 2020,11:01,21:11,10:10
4 03 2020,12:26,20:44,8:18
3 03 2020,12:15,21:33,9:18
2 03 2020,12:20,19:40,7:20
1 03 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
29 02 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
28 02 2020,12:22,20:32,8:10
27 02 2020,12:16,20:41,8:25
26 02 2020,12:25,20:32,8:07
25 02 2020,12:11,18:42,6:31
24 02 2020,12:45,20:10,7:25
23 02 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
22 02 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
21 02 2020,12:23,20:44,8:21
20 02 2020,12:13,20:13,8:00
19 02 2020,12:14,20:07,7:53
18 02 2020,12:06,20:10,8:04
17 02 2020,12:16,20:45,8:29
16 02 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
15 02 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
14 02 2020,12:01,18:48,6:47
13 02 2020,11:51,20:25,8:34
12 02 2020,12:08,20:07,7:59
11 02 2020,11:49,20:28,8:39
10 02 2020,12:39,20:21,7:42
9 02 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
8 02 2020,Public Holiday/Weekend,Public Holiday/Weekend,0:00
7 02 2020,12:27,20:00,7:33
6 02 2020,12:19,21:07,8:48
5 02 2020,12:23,21:11,8:48
